range_nm,e_batt_whkg,mtow_kg,fuel_burn_kg,mtow_sigma_kg,fuel_sigma_kg,mtow_at_bound,fuel_check,source
600,650,5700.0,270.2,31.8,39.9,1,advisory,figure-pixel
650,650,5700.0,352.6,31.8,43.2,1,advisory,figure-pixel
700,650,5700.0,410.1,31.8,31.3,1,advisory,figure-pixel
750,650,5700.0,476.0,31.8,16.3,1,advisory,figure-pixel
800,650,5700.0,579.3,31.8,17.4,1,advisory,figure-pixel
300,700,4231.7,39.9,140.9,6.5,0,skip,figure-pixel
350,700,4588.5,15.2,165.9,7.1,0,skip,figure-pixel
400,700,5114.4,17.4,78.3,8.1,0,skip,figure-pixel
450,700,5477.5,19.6,50.1,9.2,0,skip,figure-pixel
500,700,5700.0,66.5,31.8,22.4,1,skip,figure-pixel
550,700,5700.0,147.7,31.8,36.5,1,advisory,figure-pixel
600,700,5700.0,218.1,31.8,39.9,1,advisory,figure-pixel
650,700,5700.0,294.4,31.8,43.2,1,advisory,figure-pixel
700,700,5700.0,379.7,31.8,46.5,1,advisory,figure-pixel
750,700,5700.0,474.0,31.8,31.5,1,advisory,figure-pixel
800,700,5700.0,544.6,31.8,17.4,1,advisory,figure-pixel
300,750,4112.7,39.9,131.5,6.5,0,skip,figure-pixel
350,750,4432.0,15.2,156.5,7.1,0,skip,figure-pixel
400,750,4788.9,17.4,159.6,8.1,0,skip,figure-pixel
450,750,5177.0,19.6,65.7,9.2,0,skip,figure-pixel
500,750,5672.2,0.0,0.0,0.0,0,skip,paper-table-4
550,750,5700.0,98.5,31.8,37.3,1,advisory,figure-pixel
600,750,5700.0,188.8,31.8,39.9,1,advisory,figure-pixel
650,750,5700.0,264.5,31.8,43.2,1,advisory,figure-pixel
700,750,5700.0,347.5,31.8,46.5,1,advisory,figure-pixel
750,750,5700.0,408.9,31.8,33.6,1,advisory,figure-pixel
800,750,5700.0,507.7,31.8,0.0,1,advisory,figure-pixel
300,800,4012.5,204.2,122.1,0.0,0,advisory,figure-pixel
350,800,4281.7,63.6,147.1,8.1,0,advisory,figure-pixel
400,800,4601.0,72.7,165.9,9.2,0,advisory,figure-pixel
450,800,4939.1,81.8,128.3,10.4,0,advisory,figure-pixel
500,800,5358.6,90.9,50.1,11.5,0,advisory,figure-pixel
550,800,5700.0,100.0,31.8,12.7,1,advisory,figure-pixel
600,800,5700.0,136.7,31.8,13.8,1,advisory,figure-pixel
650,800,5700.0,176.3,31.8,14.1,1,advisory,figure-pixel
700,800,5700.0,222.2,31.8,16.1,1,advisory,figure-pixel
750,800,5700.0,441.4,31.8,17.3,1,advisory,figure-pixel
800,800,5700.0,581.5,31.8,0.0,1,advisory,figure-pixel
